국가 코드,국가명,기업세율,이자율,노동 비용,토지/공장 임대 비용,전기/유틸리티 비용,물류 및 운송 비용,환율/인플레이션 리스크,종합 제조 비용 지수
KR,대한민국,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
JP,일본,122.48000000000002,2.857142857142857,116.48,150.0,118.36188436830837,107.98465829846585,80.95238095238095,110.20607663811137
CN,중국,100.0,98.57142857142858,38.08,70.83333333333334,75.05353319057816,87.00604370060437,55.23809523809524,65.17265081939166
IN,인도,100.68,185.71428571428572,11.519999999999998,33.33333333333333,66.91648822269808,85.95711297071131,100.0,59.650087798059026
TH,태국,80.0,71.42857142857143,20.24,41.66666666666667,83.43147751605996,84.95364673065879,66.66666666666666,54.746530541769715
VN,베트남,80.0,128.57142857142858,12.492799999999999,37.5,78.50642398286939,81.4251299606948,76.19047619047619,54.15983213915368
TW,대만,80.0,53.57142857142857,57.599999999999994,83.33333333333334,91.67558886509637,93.46375664367297,55.23809523809524,72.46661611202968
EU,유럽연합,86.8,107.14285714285714,151.2,125.0,127.35546038543899,114.72259074055178,82.85714285714285,124.05456481175577
MX,멕시코,120.0,314.2857142857143,24.96,50.0,59.74304068522485,93.26044900346426,133.33333333333331,77.7341425009224
