국가 코드,국가명,제조 비용 지수,화물 비용 지수,기본 관세율(%),실효 관세율(%),최종 수출 가격 지수
KR,대한민국,100.0,20.0,23.14814814814815,0.0,82.0
JP,일본,108.84303216001894,21.333333333333332,25.84444444444444,25.84444444444444,92.57209490732113
CN,중국,61.690035286752604,23.111111111111107,51.43703703703704,51.43703703703704,56.025059048563314
IN,인도,55.91921430512661,28.88888888888889,25.833333333333332,25.833333333333332,49.81513633216891
TH,태국,53.77066262350944,26.666666666666664,25.833333333333332,25.833333333333332,47.76116110547043
VN,베트남,52.688858039405886,25.77777777777778,25.833333333333332,25.833333333333332,46.75591896791306
TW,대만,71.674320499689,20.444444444444443,25.84444444444444,25.84444444444444,61.76465914708514
EU,유럽연합,128.02398131327206,24.444444444444446,24.36296296296296,24.36296296296296,108.57821210481862
MX,멕시코,71.79342411927169,14.222222222222223,0.0,0.0,58.85696151763958
